Time (sec.), Cycles, "value_state"
7.422166730, 742216673, 0.704611599
7.432166170, 743216617, 0.705261588
7.442166250, 744216625, 0.705905497
7.452161820, 745216182, 0.706543326
7.462163150, 746216315, 0.707175076
7.472161400, 747216140, 0.707800865
7.482161860, 748216186, 0.708420634
7.492161770, 749216177, 0.709034503
7.502162850, 750216285, 0.709642470
7.512162400, 751216240, 0.710244596
7.522162440, 752216244, 0.710840940
7.532161150, 753216115, 0.711431503
7.542160900, 754216090, 0.712016344
7.552162360, 755216236, 0.712595463
7.562162200, 756216220, 0.713168919
7.572160630, 757216063, 0.713736773
7.582161140, 758216114, 0.714299023
7.592160800, 759216080, 0.714855790
7.602169770, 760216977, 0.715407014
7.612170840, 761217084, 0.715952814
7.622172780, 762217278, 0.716493189
7.632170950, 763217095, 0.717028201
7.642171200, 764217120, 0.717557847
7.652172130, 765217213, 0.718082190
7.662160870, 766216087, 0.718601286
7.672161140, 767216114, 0.719115138
7.682162760, 768216276, 0.719623804
7.692162410, 769216241, 0.720127344
